image_1,image_2,image_3,style_id,sub_class,class,sub_dept,dept,division,sku,vendor,apparel_type,color,leg_fit,neck_type,pant_length,print_type,sleeve_length
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Citrus_Orange,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Citrus Orange,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Champ_Oxford_Grey,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Champ Oxford Grey,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMLVBYBLLGRPHABT_White,,,S19BMGFX704,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19498577,ADIDAS,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMLVBYBLLGRPHABT_Medium_Grey_Heather,,,S19BMGFX704,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19498577,ADIDAS,,Medium Grey Heather,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMSKLLBLLGRPHABT_Active_Red,,,S19BMGFX705,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657174,ADIDAS,,Active Red,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTNGGRPHCLNGAST_White,,,S1906GHTAN042,A SOCCER TOPS,A SOCCER,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19656551,ADIDAS,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMHRDNVRBGRPHABT_Black,,,S19BMHAR704,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657236,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMGRPHCTXXXXXATT_White_Black,,,AS91NM171,A TRAINING TOPS,A TRAINING,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657420,ADIDAS,,White/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMGRPHCTXXXXXATT_Active_Red_White,,,AS91NM171,A TRAINING TOPS,A TRAINING,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657420,ADIDAS,,Active Red/White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMPYMDBLGRPHCABT_Black,,,S19BMGFX709,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657198,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTMCLGGRPHCTABT_White,,,S19BMGFX732,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657257,ADIDAS,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTNGGRPHCLNGAST_Black,,,S1906GHTAN042,A SOCCER TOPS,A SOCCER,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19656551,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTNGGRPHCJRSAST_Carbon,,,S1906GHTAN002,A SOCCER TOPS,A SOCCER,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657009,ADIDAS,,Carbon,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMSKLLBLLGRPHABT_White,,,S19BMGFX705,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657174,ADIDAS,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMHRDNRTGRPHCABT_Medium_Grey_Heather,,,S19BMHAR703,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657205,ADIDAS,,Medium Grey Heather,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTNGGRPHCLNGAST_Red,,,S1906GHTAN042,A SOCCER TOPS,A SOCCER,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19656551,ADIDAS,,Red,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Blue,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIMTMCLGGRPHCTABT_Black,,,S19BMGFX732,A BASKETBALL TOPS,A BASKETBALL,ADIDAS,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19657257,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMGRPHCPWRBLNAPB_Granite_Heather,,,GF38H,C FLEECE BOTTOMS,C FLEECE,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19664643,JBI/CHAMPION JOG BRA,,Granite Heather,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMGRPHCPWRBLNAPB_Black,,,GF38H,C FLEECE BOTTOMS,C FLEECE,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19664643,JBI/CHAMPION JOG BRA,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMGRPHCPWRBLNAPB_Oxford_Gray,,,GF38H,C FLEECE BOTTOMS,C FLEECE,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19664643,JBI/CHAMPION JOG BRA,,Oxford Gray,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMGRPHCPWRBLNAPB_Tidal_Wave,,,GF38H,C FLEECE BOTTOMS,C FLEECE,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19664643,JBI/CHAMPION JOG BRA,,Tidal Wave,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMSCRPTGRPHCJAPT_Swiss_Blue,,,GT23H,C TRAINING TOPS,C TRAINING,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19089907,JBI/CHAMPION JOG BRA,,Swiss Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMSCRPTGRPHCJAPT_Purple,,,GT23H,C TRAINING TOPS,C TRAINING,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19089907,JBI/CHAMPION JOG BRA,,Purple,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAMSCRPTGRPHCJAPT_Spicy_Orange,,,GT23H,C TRAINING TOPS,C TRAINING,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19089907,JBI/CHAMPION JOG BRA,,Spicy Orange,,,,,
https://dks.scene7.com/is/image/dkscdn/19ADIWSTSGRPHCTNKAPT_Prism_Pink,,,S19AAWS2S171,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19679388,ADIDAS,,Prism Pink,,,,,
https://dks.scene7.com/is/image/dkscdn/19ADIWSTSGRPHCTNKAPT_Clear_Mint,,,S19AAWS2S171,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19679388,ADIDAS,,Clear Mint,,,,,
https://dks.scene7.com/is/image/dkscdn/19ADIWSTSGRPHCTNKAPT_Black,,,S19AAWS2S171,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19679388,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCHDXXXXAPT_Pink_Black,,,AS91NW171,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19733969,ADIDAS,,Pink/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCTXXXXXAPT_Black_White,,,AS91NW170,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19733947,ADIDAS,,Black/White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCTXXXXXAPT_Pink_Black,,,AS91NW170,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19733947,ADIDAS,,Pink/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCHDXXXXAPT_Black_White,,,AS91NW171,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19733969,ADIDAS,,Black/White,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCTGHTXXAPB_Black_White,,,AS91NW172,A TRAINING BOTTOMS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19733989,ADIDAS,,Black/White,,,,,
https://dks.scene7.com/is/image/dkscdn/18CHAWFLCJGGRGRPHAPB_Dark_Plum,,,M0937G,TRAINING BOTTOMS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19432055,JBI/CHAMPION JOG BRA,,Dark Plum,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCSSXAPT_Wire_Black,,,1345196,UA COMPRESSION TOPS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747082,UNDER ARMOUR,,Wire/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCLSXAPT_Wire_Black,,,1345197,UA COMPRESSION TOPS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747093,UNDER ARMOUR,,Wire/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCLSXAPT_Black_Black,,,1345197,UA COMPRESSION TOPS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747093,UNDER ARMOUR,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCLGGAPB_Black_Black,,,1345198,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747940,UNDER ARMOUR,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCLGGAPB_Wire_Black,,,1345198,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747940,UNDER ARMOUR,,Wire/Black,,,,,
